"Kurs-ID","Modulnummer","Kursname","Dozierende","Semester"
"437","BA-WiIng-M08-F0...","Einführung in die Umweltökonomie und nachhaltige Entwicklung","Gerrit von Jorck","SoSe26"
"438","BA-WiIng-M09-F0...","Marketing","Prof. Dr. rer. Harald Rüggeberg","SoSe26"
"439","BA-WiIng-M33-F0...","Unternehmenssimulation mit Teamentwicklung und Supervision 2","Robert Dabitz / Sandra Fanroth","SoSe26"
"440","Wi-Inf-M12-F01","Sicherheit in der Informationstechnologie","Prof. Dr. Katja Andresen","SoSe26"
"441","Wi-Inf-M37-F01","Praxisseminar","Prof. Dr. rer. Heike Wiesner","SoSe26"
"442","Wi-Inf-M17-F01","Unternehmenssoftware für KMU","Corinna Friebel-Fohrholz","SoSe26"
"443","Wi-Inf-M14-F01","IT Governance und IT Service Management","Prof. Dr. Sven Pohland","SoSe26"
"444","Wi-Inf-M10-F01","Projekt Software Engineering","Prof. Dr. rer. Heike Wiesner","SoSe26"
"445","Wi-Inf-M28-F01","Volkswirtschaftliche Rahmenbedingungen","Dr. Heinrich Jess","SoSe26"
"446","Wi-Inf-M04-F01","Datenbanken","Prof. Dr. Markus Schaal","SoSe26"
"447","Wi-Inf-M31-F01","Statistik","Prof. Dr. rer. nat. Susanne Hannappel","SoSe26"
"448","Wi-Inf-M08-F01","App Entwicklung mit Android","Holger Zimmermann","SoSe26"
"449","Wi-Inf-M11-F01","Unternehmensmodellierung","Prof. Dr. Frank Habermann","SoSe26"
"450","Wi-Inf-M15-F01","Aktuelle Fragen der Wirtschaftsinformatik","Prof. Dr. Alexander Eck","SoSe26"
"451","Wi-Inf-M18-F01","E-Business und digitale Geschäftsmodelle","Andreas Gäbler","SoSe26"
"452","Wi-Inf-M35-F01","Projektmanagement","Prof. Dr. Sven Pohland","SoSe26"
"453","Wi-Inf-M13-F01","Informations- und Kommunikationsmanagement 1","Ertan Gönülal","SoSe26"
"454","Wi-Inf-M09-F02","Full-Stack Web Development","Prof. Dr. Alexander Eck","SoSe26"
"455","Wi-Inf-M19-F02","Introduction to Data Analytics","Khanh Le Nguyen","SoSe26"
"456","Wi-Inf-M33-F01","English 2- English for Information Technology Part 2 __ 1","Aleksandar Zivkovic","SoSe26"
"457","Wi-Inf-M03-F01","Betriebliche Informationssysteme","Prof. Dr. Katja Andresen","SoSe26"
"458","Wi-Inf-M06-F01","Objektorientierte Programmierung II_1","Prof. Dr. Markus Schaal","SoSe26"
"459","Wi-Inf-M01-F01","Einführung in das Studium der Wirtschaftsinformatik 1","Prof. Dr. Katja Andresen","SoSe26"
"460","Wi-Inf-M32-F01","English 1- English for Information Technology Part 1 __ 1","Aleksandar Zivkovic","SoSe26"
