modul_id,modulbezeichnung,etcs,sws,prüfungsform,veranstaltungstyp
IBMAN-M04-F01,Principles of Financial Accounting,5,,Klausur,seminaristischer Unterricht
IBMAN-M01-F01,Human Resources and Organisation,5,,Kombinierte Prüfung,seminaristischer Unterricht
IBMAN-M26-F01,Mathematics for Business and Economics,5,,Klausur,seminaristischer Unterricht
IBMAN-M20-F01,Microeconomics: Allocation and Distribution,5,,Klausur,seminaristischer Unterricht
IBMAN-M28-F01,Digital Business,5,,Leistungstest (undifferenziert),seminaristischer Unterricht
WiRecht-M39-F02...,English for Business Law: Common Law Cases,3,,Leistungstest (undifferenziert),seminaristischer Unterricht
WiRecht-M39-F01...,English for Business Law: English Legal System,3,,Leistungstest (undifferenziert),seminaristischer Unterricht
WiRecht-M09-F01...,Vertiefung Zivilrecht,3,,Klausur,Praktische Übung
WiRecht-M41-F01...,Praxisseminar,1,,Leistungstest (undifferenziert),Projektseminar, Action-learning
WiRecht-M06-F02...,Recht im Unternehmen (Gesellschaftsrecht I),2,5,,Klausur,seminaristischer Unterricht
WiRecht-M06-F01...,Recht im Unternehmen (Arbeitsrecht I),2,5,,Klausur,seminaristischer Unterricht
WiRecht-M04-F01...,Zivilrecht III,5,,Kombinierte Prüfung,Seminar
WiRecht-M05-F01...,Zivilrecht IV,5,,Hausarbeit,seminaristischer Unterricht
WiRecht-M12-F01...,Wirtschaftsstrafrecht,5,,Klausur,seminaristischer Unterricht
WiRecht-M23-F01...,Bank- und Kreditsicherungsrecht,5,,Klausur,seminaristischer Unterricht
WiRecht-M08-F01...,Gesellschaftsrecht II,5,,Hausarbeit,seminaristischer Unterricht
WiRecht-M21-F01...,Europäisches Wirtschaftsrecht,5,,Kombinierte Prüfung,seminaristischer Unterricht
WiRecht-M07-F01...,Arbeitsrecht II,5,,Kombinierte Prüfung,seminaristischer Unterricht
Wi-Inf-M16-F01,Recht der digitalen Wirtschaft,5,,Hausarbeit,Projektseminar, Action-learning
WiRecht-M24-F01...,Praktische Anwendungen des Wirtschaftsrechts,5,,Kombinierte Prüfung,seminaristischer Unterricht
WiRecht-M03-F01...,Zivilrecht II,5,,Hausarbeit,seminaristischer Unterricht
